epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51568,2.00422,3.18362,1.89806,0.93653,0.054,0.22168,0.12718,1.40978,3.10985,1.55601,0.000468394,0.000468394,0.000468394
2,9.98252,1.92354,2.61956,1.78432,0.81236,0.12381,0.1702,0.0687,2.04946,2.92539,1.74499,0.000935375,0.000935375,0.000935375
3,14.1784,1.86654,2.38359,1.72471,0.41907,0.40976,0.35774,0.18994,1.75935,2.29304,1.77943,0.00139292,0.00139292,0.00139292
4,18.3517,1.81895,2.23108,1.73271,0.54913,0.49268,0.52534,0.27866,1.58482,1.91643,1.69816,0.00138656,0.00138656,0.00138656
5,22.5417,1.82608,2.0672,1.71103,0.53653,0.55304,0.55177,0.29665,1.52047,1.79676,1.59379,0.00137241,0.00137241,0.00137241
6,26.7905,1.76946,1.9917,1.68796,0.57247,0.64885,0.67531,0.391,1.47523,1.45695,1.55645,0.00135826,0.00135826,0.00135826
7,30.8975,1.73031,1.86817,1.64816,0.6151,0.70333,0.71136,0.39532,1.44429,1.39735,1.5046,0.00134412,0.00134412,0.00134412
8,34.9643,1.72577,1.92931,1.60352,0.74363,0.6726,0.76007,0.42166,1.37848,1.29594,1.5257,0.00132997,0.00132997,0.00132997
9,39.1706,1.70184,1.75945,1.62136,0.76602,0.62128,0.69005,0.41597,1.42074,1.39184,1.52064,0.00131582,0.00131582,0.00131582
10,44.9781,1.6398,1.67495,1.58065,0.72104,0.67562,0.76661,0.43354,1.4434,1.24578,1.56199,0.00130168,0.00130168,0.00130168
11,52.7509,1.64863,1.61754,1.5887,0.71859,0.64664,0.7156,0.42011,1.43588,1.30148,1.56609,0.00128753,0.00128753,0.00128753
12,60.604,1.63902,1.59916,1.58658,0.80675,0.72234,0.80964,0.45843,1.41602,1.18753,1.52982,0.00127338,0.00127338,0.00127338
13,68.4927,1.62339,1.56024,1.56282,0.8024,0.66373,0.75273,0.43907,1.4083,1.17052,1.50645,0.00125923,0.00125923,0.00125923
14,76.3978,1.55935,1.467,1.52204,0.81321,0.68328,0.79243,0.46009,1.40592,1.15083,1.52213,0.00124509,0.00124509,0.00124509
15,84.3203,1.56044,1.42722,1.51741,0.78653,0.77265,0.85095,0.5019,1.3373,1.01972,1.4537,0.00123094,0.00123094,0.00123094
16,92.1557,1.56438,1.45784,1.53059,0.81448,0.76687,0.82411,0.4954,1.33256,1.0682,1.44968,0.00121679,0.00121679,0.00121679
17,100.008,1.52382,1.37168,1.49409,0.84303,0.79208,0.85901,0.53115,1.30616,0.95757,1.45105,0.00120265,0.00120265,0.00120265
18,107.906,1.50469,1.34161,1.46456,0.85727,0.82971,0.87858,0.52144,1.34627,0.96323,1.45705,0.0011885,0.0011885,0.0011885
19,115.806,1.5035,1.34452,1.46853,0.8138,0.80237,0.85354,0.52074,1.35091,0.98607,1.42646,0.00117435,0.00117435,0.00117435
20,123.653,1.47096,1.32782,1.46058,0.78555,0.75403,0.8109,0.48045,1.42692,1.06732,1.46757,0.00116021,0.00116021,0.00116021
21,131.563,1.51853,1.35551,1.48468,0.83035,0.784,0.84717,0.51521,1.34286,0.94245,1.48526,0.00114606,0.00114606,0.00114606
22,139.465,1.43295,1.24424,1.44114,0.92148,0.79979,0.89176,0.54161,1.3225,0.88754,1.43938,0.00113191,0.00113191,0.00113191
23,147.331,1.44067,1.22375,1.43405,0.88904,0.80755,0.87725,0.53376,1.30348,0.88931,1.41929,0.00111776,0.00111776,0.00111776
24,155.2,1.45714,1.25415,1.44665,0.86587,0.80989,0.87362,0.53276,1.32626,0.90106,1.3945,0.00110362,0.00110362,0.00110362
25,163.112,1.41095,1.22612,1.4143,0.88854,0.79883,0.88962,0.53532,1.32217,0.88222,1.42988,0.00108947,0.00108947,0.00108947
26,171.009,1.41352,1.20161,1.41542,0.90785,0.82166,0.91894,0.55989,1.28099,0.82939,1.41355,0.00107532,0.00107532,0.00107532
27,179.038,1.41544,1.23162,1.41068,0.91454,0.81348,0.89775,0.5483,1.33552,0.86112,1.44178,0.00106118,0.00106118,0.00106118
28,184.328,1.43992,1.21171,1.42837,0.86762,0.81415,0.88535,0.54043,1.33796,0.88614,1.40551,0.00104703,0.00104703,0.00104703
29,188.348,1.41655,1.19182,1.42928,0.91197,0.85495,0.91735,0.5525,1.29089,0.80538,1.42128,0.00103288,0.00103288,0.00103288
30,192.357,1.34519,1.13558,1.37781,0.88751,0.83062,0.89084,0.549,1.29565,0.8287,1.41382,0.00101873,0.00101873,0.00101873
31,196.37,1.38177,1.15646,1.38565,0.89838,0.83249,0.89423,0.54638,1.3006,0.844,1.45015,0.00100459,0.00100459,0.00100459
32,200.511,1.41309,1.14661,1.40409,0.89562,0.86176,0.91829,0.55582,1.31013,0.79547,1.42459,0.00099044,0.00099044,0.00099044
