epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6073,1.50688,4.65618,1.43937,0,0,0,0,0.80182,4.24693,0.85406,4.76e-06,4.76e-06,4.76e-06
2,20.3366,1.60984,4.95476,1.54289,0,0,0,0,0.75285,4.21547,0.83677,1.41386e-05,1.41386e-05,1.41386e-05
3,30.8204,1.39641,4.64025,1.4497,0,0,0,0,0.73782,4.18237,0.8229,2.33288e-05,2.33288e-05,2.33288e-05
4,40.5978,1.00556,4.3634,1.21663,0,0,0,0,0.68049,4.17384,0.81269,3.23304e-05,3.23304e-05,3.23304e-05
5,50.0743,1.05299,4.28055,1.2198,0,0,0,0,0.63546,4.20645,0.7878,4.11435e-05,4.11435e-05,4.11435e-05
6,59.6345,0.86118,4.13376,1.10477,0,0,0,0,0.55959,4.19571,0.76413,4.97682e-05,4.97682e-05,4.97682e-05
7,69.088,0.79586,3.86582,1.07377,0.5,0.16667,0.33333,0.26666,0.46648,4.1587,0.73961,5.82043e-05,5.82043e-05,5.82043e-05
8,78.3499,0.85369,3.71286,1.03649,0.5,0.33333,0.41665,0.36665,0.44654,4.09904,0.71638,6.6452e-05,6.6452e-05,6.6452e-05
9,89.1512,0.81881,3.41136,1.01394,0.5,0.5,0.4975,0.45355,0.4584,4.06533,0.72037,7.45111e-05,7.45111e-05,7.45111e-05
10,100.7,0.90861,3.26357,1.07389,0.5,0.5,0.4975,0.45355,0.4945,4.01073,0.72984,8.23818e-05,8.23818e-05,8.23818e-05
11,112.256,0.83719,2.9559,1.01553,0.5,0.5,0.4975,0.45355,0.54071,3.95462,0.72931,9.0064e-05,9.0064e-05,9.0064e-05
12,124.015,0.92091,2.74521,1.08855,0.5,0.5,0.4975,0.45355,0.55745,3.86846,0.7082,9.75576e-05,9.75576e-05,9.75576e-05
13,138.708,0.79934,2.28172,1.02861,0.3,0.5,0.4975,0.44907,0.59012,3.70736,0.69807,0.000104863,0.000104863,0.000104863
14,149.862,0.91792,2.24818,1.08904,0.25,0.5,0.4975,0.44794,0.61333,3.5007,0.70072,0.000111979,0.000111979,0.000111979
15,160.55,0.75711,1.74843,0.9875,0.44248,0.5,0.4975,0.44654,0.6073,3.23245,0.7101,0.000118908,0.000118908,0.000118908
16,171.49,0.88341,1.86008,1.09894,0.5,0.47223,0.4975,0.46634,0.64011,2.9549,0.71225,0.000125647,0.000125647,0.000125647
17,181.611,0.8077,1.70945,1.05438,0.5,0.48749,0.4975,0.46657,0.71908,2.71433,0.71668,0.000132199,0.000132199,0.000132199
18,191.665,0.77661,1.68883,0.95369,0.5,0.49417,0.4975,0.46687,0.76788,2.62729,0.71522,0.000138561,0.000138561,0.000138561
19,201.723,0.71139,1.43073,0.96684,0.5,0.49995,0.4975,0.46687,0.76584,2.5791,0.70564,0.000144735,0.000144735,0.000144735
