epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.253,1.74682,3.72369,1.71977,0.0045,0.5,0.18111,0.0927,1.10233,3.22653,1.12449,5.001e-05,5.001e-05,5.001e-05
2,1.66737,1.78785,3.83522,1.78931,0.00388,0.5,0.38454,0.33119,0.54492,2.95018,0.88112,0.000116305,0.000116305,0.000116305
3,2.10075,1.49,3.18723,1.46962,0.00343,0.5,0.48607,0.39582,0.5513,2.8994,0.86277,0.00018216,0.00018216,0.00018216
4,2.55286,1.13402,2.16725,1.14549,0.98881,0.5,0.4975,0.40853,0.7403,2.36043,0.92169,0.000247575,0.000247575,0.000247575
5,2.96873,1.1035,1.98337,1.08058,1,0.48891,0.4975,0.43999,0.78976,2.15768,1.07814,0.000312549,0.000312549,0.000312549
6,3.37068,1.08567,1.61946,1.10585,1,0.28991,0.4975,0.42947,0.70123,2.35706,1.01774,0.000377084,0.000377084,0.000377084
7,3.79153,1.0946,1.7497,1.02876,0.99255,0.5,0.4975,0.40867,0.78474,2.38506,0.98651,0.000441178,0.000441178,0.000441178
8,4.20111,1.07569,1.73065,1.12278,0.84672,0.19344,0.43583,0.37675,0.83557,2.45509,0.94086,0.000504833,0.000504833,0.000504833
9,4.62859,1.18196,1.72798,1.07033,0.00475,0.5,0.4975,0.32917,1.12774,2.66906,1.04805,0.000568047,0.000568047,0.000568047
10,5.02975,1.09533,1.62711,1.09666,1,0.29187,0.4975,0.41684,0.76076,2.3987,0.89873,0.000630821,0.000630821,0.000630821
11,5.42808,1.14701,1.58558,1.07938,0.96243,0.5,0.4975,0.44678,0.72424,1.91114,0.84911,0.000693155,0.000693155,0.000693155
12,5.83065,1.06836,1.52953,1.0474,0.92608,0.48256,0.47393,0.42778,0.66414,1.543,0.87216,0.000755049,0.000755049,0.000755049
13,6.24558,0.99738,1.47195,1.04848,1,0.45406,0.4975,0.39353,0.83328,1.70089,0.93755,0.000816503,0.000816503,0.000816503
14,6.62709,1.08103,1.48845,1.09526,0.92134,0.5,0.48607,0.37908,0.91996,1.67813,0.95569,0.000877517,0.000877517,0.000877517
15,7.02577,1.02248,1.52342,1.07396,1,0.4547,0.4993,0.38749,0.98268,1.78521,1.08205,0.000938091,0.000938091,0.000938091
