epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,167.01,0.79597,1.07879,0.95776,0.89778,0.85904,0.93346,0.67014,0.79967,1.30932,0.77269,0.000278079,0.000278079,0.000278079
44,171.053,0.77236,1.10636,0.9301,0.91732,0.85914,0.93346,0.64741,0.78109,1.31241,0.76974,0.000273367,0.000273367,0.000273367
45,175.029,0.66405,0.99158,0.90996,0.91732,0.85914,0.93346,0.64741,0.78109,1.31241,0.76974,0.000268654,0.000268654,0.000268654
46,178.947,0.76127,1.06389,0.97206,0.92171,0.85248,0.93346,0.63968,0.75086,1.27791,0.76347,0.000263942,0.000263942,0.000263942
47,182.79,0.70155,0.99063,0.91488,0.9102,0.9,0.93667,0.62306,0.75785,1.22243,0.77721,0.00025923,0.00025923,0.00025923
48,186.79,0.75775,1.0853,0.95195,0.9285,0.89006,0.945,0.64809,0.73823,1.17736,0.77417,0.000254517,0.000254517,0.000254517
49,190.7,0.78349,1.0847,0.96197,0.9285,0.89006,0.945,0.64809,0.73823,1.17736,0.77417,0.000249805,0.000249805,0.000249805
50,194.847,0.67668,1.05373,0.90101,0.92853,0.8913,0.96643,0.66621,0.66903,1.18041,0.75223,0.000245092,0.000245092,0.000245092
51,198.65,0.79093,1.07179,0.98764,0.92534,0.9,0.96643,0.67034,0.67349,1.19781,0.76517,0.00024038,0.00024038,0.00024038
52,202.551,0.73299,1.00548,0.94042,0.90795,0.9,0.96643,0.67491,0.65627,1.15082,0.7543,0.000235668,0.000235668,0.000235668
53,206.282,0.74449,1.01638,0.94845,0.90795,0.9,0.96643,0.67491,0.65627,1.15082,0.7543,0.000230955,0.000230955,0.000230955
54,209.991,0.68406,0.94169,0.90555,0.88438,0.9,0.9575,0.70247,0.58068,1.05651,0.7404,0.000226243,0.000226243,0.000226243
55,213.68,0.76878,0.99649,0.9551,0.90886,0.9,0.95056,0.70639,0.58118,1.01424,0.73799,0.00022153,0.00022153,0.00022153
56,217.395,0.74452,1.03939,0.96644,0.92091,0.9,0.95056,0.69554,0.58643,1.00667,0.73751,0.000216818,0.000216818,0.000216818
57,221.076,0.68352,0.98682,0.90574,0.92091,0.9,0.95056,0.69554,0.58643,1.00667,0.73751,0.000212106,0.000212106,0.000212106
58,224.811,0.76785,1.01808,0.95336,0.92998,0.89073,0.9575,0.67183,0.70649,1.05025,0.77494,0.000207393,0.000207393,0.000207393
59,228.481,0.70151,0.95345,0.91455,0.92118,0.9,0.9575,0.66565,0.7118,1.08619,0.78068,0.000202681,0.000202681,0.000202681
60,232.197,0.67183,0.8923,0.91464,0.89557,0.9,0.96643,0.68173,0.74186,1.07925,0.78979,0.000197968,0.000197968,0.000197968
61,235.886,0.73213,0.97357,0.94904,0.89557,0.9,0.96643,0.68173,0.74186,1.07925,0.78979,0.000193256,0.000193256,0.000193256
62,239.576,0.64563,0.92328,0.91792,0.88647,0.9,0.96643,0.69234,0.71872,1.04541,0.78125,0.000188544,0.000188544,0.000188544
63,243.234,0.70176,1.01845,0.93808,0.9284,0.9,0.9575,0.69086,0.70124,1.01778,0.7753,0.000183831,0.000183831,0.000183831
64,246.912,0.67307,0.94787,0.93611,0.93836,0.89596,0.96643,0.69226,0.68655,1.01659,0.77224,0.000179119,0.000179119,0.000179119
65,250.679,0.71889,0.97424,0.94165,0.93836,0.89596,0.96643,0.69226,0.68655,1.01659,0.77224,0.000174406,0.000174406,0.000174406
66,254.505,0.73083,0.98184,0.96727,0.93877,0.89333,0.96643,0.68464,0.71378,1.01863,0.78302,0.000169694,0.000169694,0.000169694
67,258.24,0.62647,0.89881,0.89963,0.93869,0.8928,0.96643,0.69372,0.73054,1.0139,0.79029,0.000164982,0.000164982,0.000164982
68,261.971,0.66296,0.9021,0.9357,0.80484,0.9,0.90643,0.67583,0.70392,1.00797,0.77655,0.000160269,0.000160269,0.000160269
69,265.722,0.69232,0.92637,0.91489,0.80484,0.9,0.90643,0.67583,0.70392,1.00797,0.77655,0.000155557,0.000155557,0.000155557
70,269.442,0.62667,0.89631,0.89176,0.82551,0.89785,0.89056,0.67288,0.62783,0.99707,0.74173,0.000150844,0.000150844,0.000150844
71,273.247,0.64602,0.85755,0.8981,0.82675,0.89723,0.8975,0.69214,0.60894,0.96717,0.73111,0.000146132,0.000146132,0.000146132
72,277.046,0.68763,0.93456,0.92309,0.94306,0.89026,0.95056,0.68906,0.57625,0.93735,0.71939,0.00014142,0.00014142,0.00014142
73,280.762,0.65948,0.87792,0.92022,0.94306,0.89026,0.95056,0.68906,0.57625,0.93735,0.71939,0.000136707,0.000136707,0.000136707
74,284.518,0.61008,0.86666,0.87165,0.94531,0.88991,0.9575,0.70032,0.56268,0.93213,0.71511,0.000131995,0.000131995,0.000131995
75,288.331,0.60729,0.84701,0.91127,0.94414,0.89011,0.95056,0.67486,0.58008,0.93956,0.71828,0.000127282,0.000127282,0.000127282
76,292.123,0.65191,0.91289,0.94555,0.94293,0.89134,0.9575,0.6677,0.6451,0.94671,0.74664,0.00012257,0.00012257,0.00012257
77,295.936,0.62819,0.88048,0.90974,0.94293,0.89134,0.9575,0.6677,0.6451,0.94671,0.74664,0.000117858,0.000117858,0.000117858
78,299.736,0.61615,0.85764,0.90477,0.82019,0.88666,0.8975,0.68178,0.65517,0.96479,0.75717,0.000113145,0.000113145,0.000113145
79,303.571,0.65609,0.87587,0.9375,0.82124,0.88362,0.8975,0.69086,0.63474,0.96538,0.75272,0.000108433,0.000108433,0.000108433
80,307.398,0.58349,0.81795,0.90295,0.81621,0.79671,0.85214,0.68427,0.63037,0.94989,0.74867,0.00010372,0.00010372,0.00010372
81,311.196,0.62072,0.87109,0.89421,0.81621,0.79671,0.85214,0.68427,0.63037,0.94989,0.74867,9.9008e-05,9.9008e-05,9.9008e-05
82,314.996,0.64424,0.84914,0.90711,0.94695,0.89343,0.945,0.70512,0.60762,0.93087,0.73992,9.42956e-05,9.42956e-05,9.42956e-05
83,318.808,0.63411,0.85066,0.92683,0.94932,0.89301,0.94045,0.71567,0.61697,0.92619,0.74192,8.95832e-05,8.95832e-05,8.95832e-05
84,322.634,0.64075,0.88017,0.93124,0.95066,0.89287,0.94045,0.70625,0.62977,0.94193,0.74532,8.48708e-05,8.48708e-05,8.48708e-05
85,326.436,0.64685,0.86668,0.91348,0.95066,0.89287,0.94045,0.70625,0.62977,0.94193,0.74532,8.01584e-05,8.01584e-05,8.01584e-05
86,330.252,0.59507,0.8317,0.90744,0.94981,0.89306,0.93667,0.7003,0.65461,0.95159,0.75455,7.5446e-05,7.5446e-05,7.5446e-05
87,334.056,0.6196,0.83811,0.9128,0.94791,0.89328,0.93667,0.68859,0.68097,0.96631,0.76309,7.07336e-05,7.07336e-05,7.07336e-05
88,337.863,0.59334,0.81924,0.89823,0.94704,0.89344,0.94045,0.68608,0.71947,0.96295,0.78244,6.60212e-05,6.60212e-05,6.60212e-05
89,341.649,0.70563,0.89224,0.958,0.94704,0.89344,0.94045,0.68608,0.71947,0.96295,0.78244,6.13088e-05,6.13088e-05,6.13088e-05
90,345.474,0.60326,0.79187,0.91356,0.82178,0.88016,0.90045,0.68213,0.75218,0.96004,0.80097,5.65964e-05,5.65964e-05,5.65964e-05
91,349.33,0.62903,1.09523,0.87688,0.82209,0.88117,0.90045,0.67296,0.76205,0.94356,0.80943,5.1884e-05,5.1884e-05,5.1884e-05
92,353.097,0.55117,1.05984,0.84653,0.82174,0.9,0.905,0.65718,0.75727,0.92072,0.8094,4.71716e-05,4.71716e-05,4.71716e-05
93,356.778,0.652,1.11792,0.90215,0.82174,0.9,0.905,0.65718,0.75727,0.92072,0.8094,4.24592e-05,4.24592e-05,4.24592e-05
94,360.506,0.51629,1.02072,0.84326,0.82382,0.88397,0.90045,0.68566,0.73152,0.90258,0.79454,3.77468e-05,3.77468e-05,3.77468e-05
95,364.287,0.5517,1.05861,0.87301,0.94549,0.89393,0.94045,0.68697,0.69279,0.89487,0.77137,3.30344e-05,3.30344e-05,3.30344e-05
96,368.039,0.50553,1.0058,0.82215,0.94585,0.89379,0.94045,0.70321,0.66257,0.89158,0.75595,2.8322e-05,2.8322e-05,2.8322e-05
97,371.716,0.53204,1.05022,0.84917,0.94585,0.89379,0.94045,0.70321,0.66257,0.89158,0.75595,2.36096e-05,2.36096e-05,2.36096e-05
98,375.461,0.5288,1.0324,0.87162,0.94512,0.89374,0.94045,0.69604,0.64736,0.8849,0.7493,1.88972e-05,1.88972e-05,1.88972e-05
99,379.143,0.4683,1.05683,0.83902,0.94491,0.89356,0.93667,0.68998,0.63083,0.88172,0.74249,1.41848e-05,1.41848e-05,1.41848e-05
100,382.878,0.53393,1.00261,0.8321,0.94506,0.89368,0.93667,0.7057,0.61858,0.88336,0.73842,9.4724e-06,9.4724e-06,9.4724e-06
