epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.7654,0.92976,0.91985,0.99196,0.96666,0.90118,0.98357,0.6578,0.7594,0.66847,0.87338,0.000990365,0.000990365,0.000990365
43,29.4294,0.96662,0.87695,0.97277,0.91639,0.91579,0.98324,0.65821,0.83116,0.6066,0.88242,0.000973861,0.000973861,0.000973861
44,30.1376,0.97349,0.90283,0.97708,0.91751,0.91667,0.98885,0.57084,0.86581,0.70058,0.89338,0.000957358,0.000957358,0.000957358
45,30.8022,1.03382,0.93582,1.01991,0.90085,0.91667,0.98577,0.57547,0.92107,0.69562,0.92566,0.000940855,0.000940855,0.000940855
46,31.4424,0.97215,0.87241,0.98266,0.89335,0.99415,0.97923,0.6043,0.86459,0.66043,0.94022,0.000924352,0.000924352,0.000924352
47,32.097,1.00477,0.89894,0.98916,0.88063,0.95833,0.95956,0.61536,0.73372,0.6503,0.8679,0.000907848,0.000907848,0.000907848
48,32.8042,0.93457,0.87598,0.96616,0.87068,0.95833,0.97992,0.65716,0.68405,0.53424,0.86456,0.000891345,0.000891345,0.000891345
49,33.4733,0.9466,0.88014,0.96524,0.94016,0.96836,0.995,0.66689,0.6776,0.49729,0.86729,0.000874842,0.000874842,0.000874842
50,34.1331,0.86193,0.81409,0.94886,0.93128,0.95073,0.92723,0.65418,0.72573,0.55557,0.87873,0.000858338,0.000858338,0.000858338
51,34.7787,0.93281,0.83044,0.98376,0.99153,0.9499,0.99192,0.67125,0.72096,0.54879,0.86149,0.000841835,0.000841835,0.000841835
52,35.444,0.90183,0.83145,0.98428,0.909,0.95833,0.92058,0.63608,0.76343,0.51617,0.87608,0.000825332,0.000825332,0.000825332
53,36.1288,0.92588,0.87598,0.96812,0.90535,0.95833,0.92058,0.6375,0.75866,0.53509,0.87512,0.000808828,0.000808828,0.000808828
54,36.8084,0.93238,0.82186,0.99644,0.90798,0.95833,0.9822,0.66683,0.70126,0.51297,0.86811,0.000792325,0.000792325,0.000792325
55,37.4901,0.97332,0.81192,0.97712,0.8211,0.91667,0.8166,0.61754,0.72205,0.54242,0.86911,0.000775822,0.000775822,0.000775822
56,38.1597,0.88303,0.77939,0.95008,0.87222,0.95833,0.96777,0.66912,0.67163,0.50611,0.85766,0.000759318,0.000759318,0.000759318
57,38.8194,0.88527,0.76871,0.97743,0.89423,0.98043,0.9822,0.68727,0.62736,0.46212,0.84504,0.000742815,0.000742815,0.000742815
58,39.496,0.91936,0.76998,0.96558,0.92131,1,0.98885,0.66418,0.6018,0.48471,0.83088,0.000726312,0.000726312,0.000726312
59,40.1368,0.85191,0.77533,0.93909,0.93024,0.99946,0.98885,0.7178,0.60923,0.41853,0.83219,0.000709809,0.000709809,0.000709809
60,40.8354,0.85247,0.71969,0.95033,0.87494,1,0.97948,0.73221,0.5916,0.40429,0.83353,0.000693305,0.000693305,0.000693305
61,41.466,0.82402,0.72108,0.95706,0.86707,0.98453,0.9822,0.71474,0.6228,0.41874,0.83761,0.000676802,0.000676802,0.000676802
62,42.1506,0.85126,0.72052,0.93974,0.87095,0.95833,0.97792,0.66699,0.63493,0.41938,0.84426,0.000660299,0.000660299,0.000660299
63,42.8109,0.91012,0.79822,0.96211,0.87689,0.95833,0.9822,0.67518,0.63052,0.44715,0.84869,0.000643795,0.000643795,0.000643795
64,43.502,0.77517,0.68265,0.90591,0.90794,0.93582,0.98367,0.67272,0.61943,0.46609,0.84872,0.000627292,0.000627292,0.000627292
65,44.1025,0.76768,0.66742,0.92205,0.87717,0.95833,0.98595,0.69699,0.62942,0.47023,0.84835,0.000610789,0.000610789,0.000610789
66,44.8101,0.7916,0.66423,0.92046,0.94009,0.95674,0.99192,0.70287,0.59236,0.47027,0.8488,0.000594286,0.000594286,0.000594286
67,45.4844,0.85661,0.76015,0.96195,0.9333,0.91667,0.98595,0.67939,0.58935,0.43818,0.84958,0.000577782,0.000577782,0.000577782
68,46.1929,0.81415,0.68749,0.92322,0.96487,0.95275,0.995,0.70073,0.60786,0.43161,0.84456,0.000561279,0.000561279,0.000561279
69,46.8505,0.80058,0.68967,0.9187,0.96636,0.9941,0.995,0.69333,0.63337,0.42926,0.84348,0.000544776,0.000544776,0.000544776
70,47.5802,0.78584,0.70706,0.9143,0.95671,1,0.995,0.67453,0.64349,0.42502,0.84845,0.000528272,0.000528272,0.000528272
71,48.2827,0.77192,0.66867,0.92841,0.96084,1,0.995,0.70011,0.61902,0.41251,0.84147,0.000511769,0.000511769,0.000511769
72,48.9484,0.71637,0.6424,0.90331,0.96792,0.9932,0.995,0.72565,0.62234,0.43428,0.84646,0.000495266,0.000495266,0.000495266
73,49.636,0.8001,0.6757,0.95083,0.97135,0.9933,0.995,0.69268,0.66388,0.4376,0.85303,0.000478762,0.000478762,0.000478762
74,50.2826,0.76935,0.64209,0.92308,0.96989,0.99062,0.995,0.6788,0.66791,0.43006,0.84782,0.000462259,0.000462259,0.000462259
75,50.9587,0.71712,0.62892,0.93022,0.96346,0.99779,0.995,0.68746,0.6086,0.39213,0.83364,0.000445756,0.000445756,0.000445756
