epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,60.7516,1.23015,1.69931,1.2114,0.42667,0.5,0.4975,0.4975,0.70635,2.98952,0.72542,0.000116793,0.000116793,0.000116793
44,62.0973,1.1088,1.92736,1.08698,0.42667,0.5,0.4975,0.4975,0.70635,2.98952,0.72542,0.000117548,0.000117548,0.000117548
45,63.4638,1.20517,2.07259,1.26452,0.40333,0.5,0.4975,0.4975,0.69754,2.99061,0.7148,0.000118208,0.000118208,0.000118208
46,64.7984,1.00733,1.50292,1.02688,0.40333,0.5,0.4975,0.4975,0.69754,2.99061,0.7148,0.000118774,0.000118774,0.000118774
47,66.155,1.1032,1.95722,1.03567,0.38131,0.5,0.4975,0.4975,0.69772,3.03538,0.71569,0.000119246,0.000119246,0.000119246
48,67.433,0.94319,1.44534,1.0264,0.38131,0.5,0.4975,0.4975,0.69772,3.03538,0.71569,0.000119623,0.000119623,0.000119623
49,68.7278,1.05837,1.4245,1.04926,0.41082,0.5,0.4975,0.4975,0.66795,2.98977,0.7099,0.000119906,0.000119906,0.000119906
50,70.022,1.27174,1.62476,1.23047,0.41082,0.5,0.4975,0.4975,0.66795,2.98977,0.7099,0.000120095,0.000120095,0.000120095
51,71.329,1.15927,1.80129,1.0814,0.43463,0.5,0.4975,0.4975,0.7347,3.00126,0.74231,0.00012019,0.00012019,0.00012019
52,72.6167,1.09929,1.56291,1.12882,0.43463,0.5,0.4975,0.4975,0.7347,3.00126,0.74231,0.00012019,0.00012019,0.00012019
53,73.9016,0.88811,1.37602,0.92997,0.43463,0.5,0.4975,0.4975,0.7347,3.00126,0.74231,0.000120097,0.000120097,0.000120097
54,75.232,1.07267,1.44214,1.05306,0.44946,0.5,0.4975,0.4975,0.72688,2.89237,0.73036,0.000119909,0.000119909,0.000119909
55,76.5225,1.14916,1.60503,1.18252,0.44946,0.5,0.4975,0.4975,0.72688,2.89237,0.73036,0.000119626,0.000119626,0.000119626
56,77.7957,0.94286,1.50029,1.0548,0.44946,0.5,0.4975,0.4975,0.72688,2.89237,0.73036,0.00011925,0.00011925,0.00011925
57,79.1026,1.16342,1.60008,1.08592,0.4532,0.5,0.4975,0.4975,0.7583,2.87726,0.73904,0.000118779,0.000118779,0.000118779
58,80.3705,0.92214,1.45949,1.07136,0.4532,0.5,0.4975,0.4975,0.7583,2.87726,0.73904,0.000118214,0.000118214,0.000118214
59,81.6586,1.0699,1.54738,1.10937,0.4532,0.5,0.4975,0.4975,0.7583,2.87726,0.73904,0.000117555,0.000117555,0.000117555
60,82.9822,1.08104,1.59233,1.05052,0.44848,0.5,0.4975,0.4975,0.85347,2.9771,0.79319,0.000116801,0.000116801,0.000116801
61,84.2519,1.04003,1.59649,1.04852,0.44848,0.5,0.4975,0.4975,0.85347,2.9771,0.79319,0.000115954,0.000115954,0.000115954
62,85.5358,1.03997,1.63172,1.03217,0.44848,0.5,0.4975,0.4975,0.85347,2.9771,0.79319,0.000115012,0.000115012,0.000115012
63,86.8318,1.07006,1.53483,1.06881,0.43766,0.5,0.4975,0.4975,0.90954,3.01429,0.80741,0.000113975,0.000113975,0.000113975
64,88.1035,1.11665,1.66998,1.14502,0.43766,0.5,0.4975,0.4975,0.90954,3.01429,0.80741,0.000112845,0.000112845,0.000112845
65,89.3898,1.04349,1.54081,1.05039,0.43766,0.5,0.4975,0.4975,0.90954,3.01429,0.80741,0.00011162,0.00011162,0.00011162
66,90.6917,0.97722,1.52193,0.99613,0.625,1,0.995,0.597,0.91324,3.03997,0.80981,0.000110301,0.000110301,0.000110301
67,91.9717,0.92789,1.49214,1.04286,0.625,1,0.995,0.597,0.91324,3.03997,0.80981,0.000108888,0.000108888,0.000108888
68,93.2513,0.95968,1.55678,1.08753,0.625,1,0.995,0.597,0.91324,3.03997,0.80981,0.00010738,0.00010738,0.00010738
69,94.5749,0.91006,1.49123,1.02891,0.88529,0.5,0.995,0.6965,0.80408,2.99272,0.76931,0.000105779,0.000105779,0.000105779
70,95.8618,1.01656,1.4599,1.0408,0.88529,0.5,0.995,0.6965,0.80408,2.99272,0.76931,0.000104083,0.000104083,0.000104083
71,97.1491,0.9764,1.36479,1.10466,0.88529,0.5,0.995,0.6965,0.80408,2.99272,0.76931,0.000102292,0.000102292,0.000102292
72,98.4807,0.91494,1.40088,1.00919,0.8394,0.5,0.995,0.72137,0.70655,2.93411,0.73288,0.000100408,0.000100408,0.000100408
73,99.7885,1.11596,1.43706,1.11872,0.8394,0.5,0.995,0.72137,0.70655,2.93411,0.73288,9.84292e-05,9.84292e-05,9.84292e-05
74,101.065,0.93661,1.33368,1.02736,0.8394,0.5,0.995,0.72137,0.70655,2.93411,0.73288,9.63562e-05,9.63562e-05,9.63562e-05
75,102.377,0.91293,1.32753,1.0443,0.79492,0.5,0.995,0.796,0.65016,2.89707,0.72005,9.4189e-05,9.4189e-05,9.4189e-05
76,103.681,1.02463,1.35427,1.04881,0.79492,0.5,0.995,0.796,0.65016,2.89707,0.72005,9.19275e-05,9.19275e-05,9.19275e-05
77,104.985,0.98682,1.50689,1.09172,0.79492,0.5,0.995,0.796,0.65016,2.89707,0.72005,8.95718e-05,8.95718e-05,8.95718e-05
78,106.299,0.9889,1.35153,1.01479,0.8065,0.5,0.995,0.74625,0.56772,2.85086,0.68767,8.71218e-05,8.71218e-05,8.71218e-05
79,107.603,0.90626,1.31529,1.01269,0.8065,0.5,0.995,0.74625,0.56772,2.85086,0.68767,8.45776e-05,8.45776e-05,8.45776e-05
80,108.885,0.95714,1.35382,1.02804,0.8065,0.5,0.995,0.74625,0.56772,2.85086,0.68767,8.19391e-05,8.19391e-05,8.19391e-05
81,110.202,0.91845,1.33885,1.06584,0.8471,0.5,0.995,0.71308,0.5584,2.7321,0.67072,7.92064e-05,7.92064e-05,7.92064e-05
82,111.498,1.08013,1.3613,1.15311,0.8471,0.5,0.995,0.71308,0.5584,2.7321,0.67072,7.63794e-05,7.63794e-05,7.63794e-05
83,112.809,0.87673,1.18592,1.02977,0.8471,0.5,0.995,0.71308,0.5584,2.7321,0.67072,7.34582e-05,7.34582e-05,7.34582e-05
84,114.129,0.94162,1.39145,1.01723,0.89065,0.5,0.995,0.6965,0.62551,2.62263,0.69998,7.04428e-05,7.04428e-05,7.04428e-05
85,115.432,0.86873,1.27818,1.02067,0.89065,0.5,0.995,0.6965,0.62551,2.62263,0.69998,6.73331e-05,6.73331e-05,6.73331e-05
86,116.718,1.15052,1.47192,1.18181,0.89065,0.5,0.995,0.6965,0.62551,2.62263,0.69998,6.41291e-05,6.41291e-05,6.41291e-05
87,118.002,0.80725,1.22642,0.95521,0.89065,0.5,0.995,0.6965,0.62551,2.62263,0.69998,6.08309e-05,6.08309e-05,6.08309e-05
88,119.357,0.86341,1.24413,0.97938,0.92499,0.5,0.995,0.67992,0.67214,2.48805,0.71826,5.74384e-05,5.74384e-05,5.74384e-05
89,120.655,0.88984,1.43512,1.06817,0.92499,0.5,0.995,0.67992,0.67214,2.48805,0.71826,5.39517e-05,5.39517e-05,5.39517e-05
90,121.954,0.89406,1.20417,0.99761,0.92499,0.5,0.995,0.67992,0.67214,2.48805,0.71826,5.03708e-05,5.03708e-05,5.03708e-05
91,123.248,0.91811,1.81389,1.02189,0.92499,0.5,0.995,0.67992,0.67214,2.48805,0.71826,4.66956e-05,4.66956e-05,4.66956e-05
92,124.573,0.80734,1.57423,0.98423,0.94962,0.5,0.995,0.72137,0.68985,2.31422,0.72362,4.29262e-05,4.29262e-05,4.29262e-05
93,125.878,0.71501,1.66541,0.91472,0.94962,0.5,0.995,0.72137,0.68985,2.31422,0.72362,3.90625e-05,3.90625e-05,3.90625e-05
94,127.18,0.81936,1.58204,0.9674,0.94962,0.5,0.995,0.72137,0.68985,2.31422,0.72362,3.51045e-05,3.51045e-05,3.51045e-05
95,128.48,0.69222,1.44627,0.97373,0.94962,0.5,0.995,0.72137,0.68985,2.31422,0.72362,3.10523e-05,3.10523e-05,3.10523e-05
96,129.823,0.79658,1.64349,1.03542,0.96695,0.5,0.995,0.72137,0.69148,2.14071,0.72218,2.69059e-05,2.69059e-05,2.69059e-05
97,131.14,0.88242,1.59362,1.01917,0.96695,0.5,0.995,0.72137,0.69148,2.14071,0.72218,2.26652e-05,2.26652e-05,2.26652e-05
98,132.513,0.80935,1.54173,1.00883,0.96695,0.5,0.995,0.72137,0.69148,2.14071,0.72218,1.83303e-05,1.83303e-05,1.83303e-05
99,133.815,0.7131,1.47516,0.89225,0.96695,0.5,0.995,0.72137,0.69148,2.14071,0.72218,1.39011e-05,1.39011e-05,1.39011e-05
100,135.262,0.93362,1.7159,1.03795,0.97581,0.5,0.995,0.72137,0.69914,2.00454,0.7227,9.37768e-06,9.37768e-06,9.37768e-06
