epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0562,1.79957,3.64297,1.69905,0.00386,0.5,0.15508,0.13956,0.74446,3.00286,0.95442,5.001e-05,5.001e-05,5.001e-05
2,1.52984,1.84366,3.82564,1.80748,0.00369,0.5,0.46333,0.42905,0.34187,2.92744,0.8088,0.000115535,0.000115535,0.000115535
3,2.03845,1.28077,3.30336,1.30684,0.00333,0.5,0.4975,0.41642,0.42554,2.92663,0.81037,0.000179739,0.000179739,0.000179739
4,2.63242,1.04757,2.7698,1.12305,0.0032,0.5,0.4975,0.47164,0.47918,2.93584,0.79777,0.000242624,0.000242624,0.000242624
5,3.12516,1.06843,2.57878,1.07119,0.00314,0.5,0.4975,0.4975,0.44196,2.85144,0.76789,0.000304187,0.000304187,0.000304187
6,3.62476,0.97386,2.20071,1.02041,0.00313,0.5,0.4975,0.46841,0.51552,2.7092,0.78557,0.000364431,0.000364431,0.000364431
7,4.11273,1.22387,2.11984,1.0515,0.00321,0.5,0.4975,0.44651,0.64818,2.61444,0.83511,0.000423355,0.000423355,0.000423355
8,4.59269,1.10872,2.00933,1.18431,0.00338,0.5,0.4975,0.44079,0.74867,2.71174,0.88889,0.000480958,0.000480958,0.000480958
9,5.06515,1.2552,1.94336,1.13351,0.00375,0.5,0.4975,0.41794,0.63222,2.63849,0.8677,0.000537241,0.000537241,0.000537241
10,5.55616,1.16156,1.78454,1.14114,0.89604,0.25,0.41417,0.34594,0.64995,2.43141,0.87283,0.000592203,0.000592203,0.000592203
11,6.05015,1.12304,1.62424,1.11415,1,0.24003,0.47083,0.36036,0.76653,2.41571,0.89227,0.000645846,0.000645846,0.000645846
12,6.53213,1.20306,1.64732,1.19444,0.7771,0.16667,0.30891,0.2204,0.74725,2.54779,0.87685,0.000698168,0.000698168,0.000698168
